# version=v2.6.15-65-ga60a37a-dirty commit=a60a37a platform="Darwin arm64" host=Kyles-MacBook-Air date=2026-03-24T13:14:40-07:00 duration_per_test=10s
mode,connection_groups,threads,tags,tags_per_thread,duration_ms,total_reads,reads_per_sec,cpu_load_pct,fairness_cv,fairness_min_max_ratio
sync,1,1,1,1.00,10043,132613,13204.5,83.17,0.00,1.0000
async,1,1,1,1.00,10042,148147,14752.7,127.06,0.00,1.0000
sync,1,1,50,50.00,10042,115667,11518.3,104.06,0.00,1.0000
async,1,1,50,50.00,10033,1150750,114696.5,178.04,0.00,1.0000
sync,1,50,50,1.00,10045,972983,96862.4,397.55,1.03,0.9539
async,1,50,50,1.00,10036,646001,64368.4,646.60,0.62,0.9764
sync,1,1,100,100.00,10050,109633,10908.8,123.86,0.00,1.0000
async,1,1,100,100.00,10040,1328900,132360.6,182.68,0.00,1.0000
sync,1,50,100,2.00,10044,934123,93003.1,392.65,4.47,0.8515
async,1,50,100,2.00,10037,736629,73391.4,615.25,0.58,0.9748
sync,1,100,100,1.00,10050,942046,93735.9,399.10,0.29,0.9874
async,1,100,100,1.00,10034,538407,53658.3,547.04,0.70,0.9607
sync,1,1,500,500.00,10029,59643,5947.1,123.06,0.00,1.0000
async,1,1,500,500.00,10042,1533000,152658.8,221.69,0.00,1.0000
sync,1,50,500,10.00,10040,739778,73683.1,328.82,7.61,0.7300
async,1,50,500,10.00,10044,466744,46469.9,648.43,8.79,0.6840
sync,1,100,500,5.00,10038,732649,72987.5,335.05,11.91,0.5644
async,1,100,500,5.00,10034,414142,41273.9,672.83,2.53,0.8718
sync,1,500,500,1.00,10050,376400,37452.7,331.67,0.19,0.9908
async,1,500,500,1.00,10077,469022,46543.8,542.66,1.43,0.9153
sync,1,1,1000,1000.00,10043,32600,3246.0,115.28,0.00,1.0000
async,1,1,1000,1000.00,10045,1524000,151717.3,224.76,0.00,1.0000
sync,1,50,1000,20.00,10037,624270,62196.9,293.58,6.73,0.7264
async,1,50,1000,20.00,10034,464480,46290.6,669.13,18.81,0.4502
sync,1,100,1000,10.00,10035,803977,80117.3,356.51,10.36,0.6404
async,1,100,1000,10.00,10029,264871,26410.5,691.97,18.52,0.4032
sync,1,500,1000,2.00,10052,424024,42183.0,368.08,6.49,0.4994
async,1,500,1000,2.00,10065,545614,54209.0,624.47,1.58,0.9105
sync,1,1000,1000,1.00,10072,162360,16119.9,355.19,0.49,0.9758
async,1,1000,1000,1.00,10111,606343,59968.6,640.43,1.28,0.9192
