# version=v2.6.16-8-gee447b1-dirty commit=ee447b1 platform="Darwin arm64" host=Kyles-MacBook-Air date=2026-03-31T05:21:19-07:00 duration_per_test=10s tag=simulator
mode,connection_groups,threads,tags,tags_per_thread,duration_ms,total_reads,reads_per_sec,cpu_load_pct,fairness_cv,fairness_min_max_ratio
sync,1,1,1,1.00,10046,138038,13740.6,82.88,0.00,1.0000
async,1,1,1,1.00,10045,146390,14573.4,122.76,0.00,1.0000
sync,1,1,50,50.00,10046,116924,11638.9,104.59,0.00,1.0000
async,1,1,50,50.00,10037,1240980,123640.5,176.40,0.00,1.0000
sync,1,50,50,1.00,10039,989816,98597.1,395.79,1.26,0.9462
async,1,50,50,1.00,10037,682875,68035.8,693.52,0.52,0.9770
sync,1,1,100,100.00,10036,108113,10772.5,122.49,0.00,1.0000
async,1,1,100,100.00,10031,1413353,140898.5,178.23,0.00,1.0000
sync,1,50,100,2.00,10045,999319,99484.2,389.26,5.79,0.8369
async,1,50,100,2.00,10034,733660,73117.4,729.46,1.66,0.9371
sync,1,100,100,1.00,10041,1133047,112842.0,444.54,0.18,0.9915
async,1,100,100,1.00,10038,637277,63486.5,676.90,0.63,0.9691
sync,1,1,500,500.00,10043,63320,6304.9,123.87,0.00,1.0000
async,1,1,500,500.00,10045,1811000,180288.7,219.74,0.00,1.0000
sync,1,50,500,10.00,10047,972159,96761.1,373.89,7.24,0.7344
async,1,50,500,10.00,10036,384659,38327.9,736.39,20.65,0.4051
sync,1,100,500,5.00,10048,1071276,106615.8,423.04,14.35,0.5084
async,1,100,500,5.00,10031,343953,34289.0,770.35,5.86,0.7500
sync,1,500,500,1.00,10057,433099,43064.4,365.89,0.05,0.9965
async,1,500,500,1.00,10050,455362,45309.7,725.52,1.75,0.9016
sync,1,1,1000,1000.00,10046,32845,3269.5,115.28,0.00,1.0000
async,1,1,1000,1000.00,10048,1886000,187699.0,227.22,0.00,1.0000
sync,1,50,1000,20.00,10041,805224,80193.6,316.29,7.36,0.7081
async,1,50,1000,20.00,10034,460818,45925.7,744.51,27.37,0.2037
sync,1,100,1000,10.00,10041,932664,92885.6,378.78,11.04,0.5864
async,1,100,1000,10.00,10037,209755,20898.2,771.73,25.87,0.3126
sync,1,500,1000,2.00,10046,480134,47793.5,387.41,7.19,0.4985
async,1,500,1000,2.00,10044,412012,41020.7,754.18,1.70,0.9002
sync,1,1000,1000,1.00,10081,160020,15873.4,356.38,0.57,0.9695
async,1,1000,1000,1.00,10079,549226,54492.1,758.36,1.77,0.8908
