# version=v2.6.16-8-gee447b1-dirty commit=ee447b1 platform="Darwin arm64" host=Kyles-MacBook-Air date=2026-03-31T05:35:15-07:00 duration_per_test=10s tag="protocol=ab-eip&gateway=10.206.1.40&path=1,4&plc=ControlLogix&name=TestBigArray"
mode,connection_groups,threads,tags,tags_per_thread,duration_ms,total_reads,reads_per_sec,cpu_load_pct,fairness_cv,fairness_min_max_ratio
sync,1,1,1,1.00,10026,1129,112.6,2.98,0.00,1.0000
async,1,1,1,1.00,10045,1285,127.9,100.23,0.00,1.0000
sync,1,1,50,50.00,10036,1206,120.2,5.16,0.00,1.0000
async,1,1,50,50.00,10039,31654,3153.1,101.62,0.00,1.0000
sync,1,50,50,1.00,10059,30906,3072.5,28.02,0.05,0.9984
async,1,50,50,1.00,10041,29054,2893.5,763.58,0.14,0.9949
sync,1,1,100,100.00,10030,1280,127.6,7.64,0.00,1.0000
async,1,1,100,100.00,10034,51000,5082.7,102.26,0.00,1.0000
sync,1,50,100,2.00,10046,30661,3052.1,30.73,0.08,0.9967
async,1,50,100,2.00,10045,54636,5439.1,769.57,0.10,0.9964
sync,1,100,100,1.00,10047,51128,5088.9,46.52,0.09,0.9980
async,1,100,100,1.00,10055,54639,5434.0,741.20,0.16,0.9927
sync,1,1,500,500.00,10049,1418,141.1,28.27,0.00,1.0000
async,1,1,500,500.00,10049,99671,9918.5,104.98,0.00,1.0000
sync,1,50,500,10.00,10051,32220,3205.7,47.09,0.08,0.9984
async,1,50,500,10.00,10044,110764,11027.9,774.40,5.42,0.7778
sync,1,100,500,5.00,10058,54265,5395.2,55.13,0.09,0.9982
async,1,100,500,5.00,10038,122165,12170.3,777.60,1.10,0.9363
sync,1,500,500,1.00,10089,115065,11405.0,113.76,3.02,0.7500
async,1,500,500,1.00,10047,119918,11935.7,777.23,0.52,0.9671
sync,1,1,1000,1000.00,10032,1337,133.3,34.83,0.00,1.0000
async,1,1,1000,1000.00,10049,110004,10946.8,107.05,0.00,1.0000
sync,1,50,1000,20.00,10057,29456,2928.9,47.24,0.06,0.9983
async,1,50,1000,20.00,10040,117654,11718.5,774.75,4.22,0.8125
sync,1,100,1000,10.00,10068,56401,5602.0,57.69,0.02,0.9982
async,1,100,1000,10.00,10042,111873,11140.5,781.35,6.30,0.7023
sync,1,500,1000,2.00,10081,123349,12235.8,105.61,2.32,0.8548
async,1,500,1000,2.00,10057,116208,11554.9,716.24,1.17,0.9333
sync,1,1000,1000,1.00,10122,123460,12197.2,197.70,2.35,0.8480
async,1,1000,1000,1.00,10076,122015,12109.5,779.88,0.44,0.9756
