# version=v2.6.16-8-gee447b1-dirty commit=ee447b1 platform="Darwin arm64" host=Kyles-MacBook-Air date=2026-03-31T06:32:16-07:00 duration_per_test=10s tag="protocol=modbus-tcp&gateway=127.0.0.1:1502&path=1&name=hr0"
mode,connection_groups,threads,tags,tags_per_thread,duration_ms,total_reads,reads_per_sec,cpu_load_pct,fairness_cv,fairness_min_max_ratio
sync,1,1,1,1.00,10040,200917,20011.7,58.88,0.00,1.0000
async,1,1,1,1.00,10046,214960,21397.6,69.83,0.00,1.0000
sync,1,1,50,50.00,10041,200138,19932.1,59.74,0.00,1.0000
async,1,1,50,50.00,10043,261370,26025.1,127.10,0.00,1.0000
sync,1,50,50,1.00,10044,221948,22097.6,70.18,0.00,0.9998
async,1,50,50,1.00,10039,118154,11769.5,697.46,0.11,0.9954
sync,1,1,100,100.00,10043,200425,19956.7,60.23,0.00,1.0000
async,1,1,100,100.00,10043,259451,25834.0,131.29,0.00,1.0000
sync,1,50,100,2.00,10035,219977,21921.0,71.36,0.01,0.9998
async,1,50,100,2.00,10042,104944,10450.5,716.16,0.09,0.9962
sync,1,100,100,1.00,10049,229335,22821.7,85.82,0.02,0.9991
async,1,100,100,1.00,10040,93716,9334.3,718.55,0.24,0.9894
sync,1,1,500,500.00,10047,186792,18591.8,97.46,0.00,1.0000
async,1,1,500,500.00,10040,257577,25655.1,133.68,0.00,1.0000
sync,1,50,500,10.00,10050,233887,23272.3,149.78,0.02,0.9991
async,1,50,500,10.00,10043,39882,3971.1,759.42,10.89,0.5040
sync,1,100,500,5.00,10048,236547,23541.7,134.04,0.02,0.9992
async,1,100,500,5.00,10045,67772,6746.8,751.30,1.73,0.9149
sync,1,500,500,1.00,10063,206749,20545.5,160.68,0.12,0.9952
async,1,500,500,1.00,10048,131871,13124.1,704.79,0.20,0.9887
sync,1,1,1000,1000.00,10046,155553,15484.1,118.14,0.00,1.0000
async,1,1,1000,1000.00,10045,259601,25843.8,134.38,0.00,1.0000
sync,1,50,1000,20.00,10052,233807,23259.7,151.38,0.03,0.9985
async,1,50,1000,20.00,10033,37888,3776.3,761.97,12.09,0.4276
sync,1,100,1000,10.00,10051,229055,22789.3,158.08,0.15,0.9930
async,1,100,1000,10.00,10041,34688,3454.6,749.24,2.37,0.9167
sync,1,500,1000,2.00,10056,202775,20164.6,177.92,0.13,0.9951
async,1,500,1000,2.00,10048,78124,7775.1,717.54,0.55,0.9747
sync,1,1000,1000,1.00,10097,163542,16197.1,213.31,0.32,0.9879
async,1,1000,1000,1.00,10072,135603,13463.4,688.34,0.37,0.9854
