# version=v2.6.16-10-g388f6c12-dirty commit=388f6c12 platform="Darwin arm64" host=Kyles-MacBook-Air date=2026-03-31T11:39:40-07:00 duration_per_test=10s tag="protocol=modbus-tcp&gateway=127.0.0.1:1502&path=1&name=hr0"
mode,connection_groups,threads,tags,tags_per_thread,duration_ms,total_reads,reads_per_sec,cpu_load_pct,fairness_cv,fairness_min_max_ratio
sync,1,1,1,1.00,10045,232141,23110.1,67.19,0.00,1.0000
async,1,1,1,1.00,10040,239736,23878.1,74.03,0.00,1.0000
sync,1,1,50,50.00,10048,232468,23135.7,68.83,0.00,1.0000
async,1,1,50,50.00,10049,308125,30662.3,134.17,0.00,1.0000
sync,1,50,50,1.00,10046,263855,26264.7,86.86,0.01,0.9998
async,1,50,50,1.00,10045,124763,12420.4,716.55,0.14,0.9936
sync,1,1,100,100.00,10034,232462,23167.4,69.55,0.00,1.0000
async,1,1,100,100.00,10043,313418,31207.6,136.30,0.00,1.0000
sync,1,50,100,2.00,10051,264247,26290.6,88.32,0.01,0.9996
async,1,50,100,2.00,10048,114147,11360.2,731.20,0.09,0.9956
sync,1,100,100,1.00,10046,256512,25533.7,88.95,0.01,0.9996
async,1,100,100,1.00,10047,104827,10433.7,729.21,0.23,0.9905
sync,1,1,500,500.00,10042,168296,16759.2,118.99,0.00,1.0000
async,1,1,500,500.00,10045,320173,31873.9,137.54,0.00,1.0000
sync,1,50,500,10.00,10048,273669,27236.2,148.90,0.01,0.9996
async,1,50,500,10.00,10035,41432,4128.7,772.60,26.70,0.0712
sync,1,100,500,5.00,10047,268755,26749.8,149.85,0.02,0.9993
async,1,100,500,5.00,10031,75828,7559.4,734.37,0.50,0.9804
sync,1,500,500,1.00,10057,224971,22369.6,169.57,0.06,0.9956
async,1,500,500,1.00,10054,142110,14134.7,720.69,0.18,0.9930
sync,1,1,1000,1000.00,10041,157889,15724.4,119.18,0.00,1.0000
async,1,1,1000,1000.00,10044,318165,31677.1,137.83,0.00,1.0000
sync,1,50,1000,20.00,10040,268071,26700.3,159.10,0.04,0.9981
async,1,50,1000,20.00,10037,43084,4292.5,771.69,10.48,0.5818
sync,1,100,1000,10.00,10051,264715,26337.2,160.53,0.03,0.9985
async,1,100,1000,10.00,10046,26791,2666.8,774.31,20.16,0.1971
sync,1,500,1000,2.00,10068,225106,22358.6,186.27,0.10,0.9934
async,1,500,1000,2.00,10048,95504,9504.8,730.03,0.53,0.9794
sync,1,1000,1000,1.00,10088,177565,17601.6,225.34,0.29,0.9888
async,1,1000,1000,1.00,10106,156654,15501.1,679.40,0.31,0.9873
