# version=v2.6.16-20-g37f1003d-dirty commit=37f1003d platform="Darwin arm64" host=Kyles-MacBook-Air date=2026-04-17T12:33:30-07:00 duration_per_test=10s tag=simulator
mode,connection_groups,threads,tags,tags_per_thread,duration_ms,total_reads,reads_per_sec,cpu_load_pct,fairness_cv,fairness_min_max_ratio
sync,1,1,1,1.00,10038,139752,13922.3,81.03,0.00,1.0000
async,1,1,1,1.00,10049,150469,14973.5,125.44,0.00,1.0000
sync,1,1,50,50.00,10049,119838,11925.4,106.33,0.00,1.0000
async,1,1,50,50.00,10041,1311075,130572.2,177.21,0.00,1.0000
sync,1,50,50,1.00,10048,1152650,114714.4,432.02,0.82,0.9651
async,1,50,50,1.00,10035,726219,72368.6,708.86,0.39,0.9811
sync,1,1,100,100.00,10049,109989,10945.3,106.26,0.00,1.0000
async,1,1,100,100.00,10047,1388155,138166.1,176.60,0.00,1.0000
sync,1,50,100,2.00,10044,963390,95917.0,378.53,5.22,0.8400
async,1,50,100,2.00,10038,692692,69007.0,720.74,1.15,0.9469
sync,1,100,100,1.00,10042,973083,96901.3,392.05,0.30,0.9860
async,1,100,100,1.00,10045,686794,68371.7,573.27,0.56,0.9702
sync,1,1,500,500.00,10042,50302,5009.2,121.49,0.00,1.0000
async,1,1,500,500.00,10042,1548500,154202.4,220.61,0.00,1.0000
sync,1,50,500,10.00,10037,838598,83550.7,346.96,7.02,0.7529
async,1,50,500,10.00,10055,446850,44440.6,594.76,11.03,0.6342
sync,1,100,500,5.00,10045,849848,84604.1,368.23,12.94,0.5500
async,1,100,500,5.00,10037,471835,47009.6,641.03,1.77,0.9239
sync,1,500,500,1.00,10053,399244,39713.9,363.64,0.12,0.9950
async,1,500,500,1.00,10057,679219,67536.9,673.58,1.32,0.9194
sync,1,1,1000,1000.00,10047,33647,3349.0,115.27,0.00,1.0000
async,1,1,1000,1000.00,10038,1759000,175234.1,227.51,0.00,1.0000
sync,1,50,1000,20.00,10036,656279,65392.5,298.09,6.75,0.7746
async,1,50,1000,20.00,10047,462560,46039.6,594.52,14.30,0.5062
sync,1,100,1000,10.00,10048,823547,81961.3,362.09,13.20,0.4985
async,1,100,1000,10.00,10038,322128,32090.9,701.12,9.35,0.6106
sync,1,500,1000,2.00,10043,458529,45656.6,379.77,5.31,0.5340
async,1,500,1000,2.00,10052,506902,50428.0,702.17,1.53,0.9242
sync,1,1000,1000,1.00,10078,160910,15966.5,356.53,0.55,0.9756
async,1,1000,1000,1.00,10097,643977,63779.0,679.73,1.25,0.9255
