# version=v2.6.15-40-gecfa02e-dirty commit=ecfa02e platform="Darwin arm64" host=Kyles-MacBook-Air date=2026-03-17T14:07:19-07:00 duration_per_test=3s
mode,connection_groups,threads,tags,tags_per_thread,duration_ms,total_reads,reads_per_sec,cpu_load_pct,fairness_cv,fairness_min_max_ratio
sync,1,1,1,1.00,3013,53163,17644.5,99.57,0.00,1.0000
async,1,1,1,1.00,3015,6783,2249.8,106.16,0.00,1.0000
sync,1,1,50,50.00,3010,49716,16516.9,119.51,0.00,1.0000
async,1,1,50,50.00,3015,5031,1668.7,107.07,0.00,1.0000
sync,50,1,50,50.00,3013,48264,16018.6,129.04,0.00,1.0000
async,50,1,50,50.00,3014,4331,1437.0,106.78,0.00,1.0000
sync,1,50,50,1.00,3015,471510,156388.1,376.88,0.02,0.9990
async,1,50,50,1.00,3015,367552,121907.8,679.10,0.41,0.9821
sync,50,50,50,1.00,3014,171105,56770.1,410.39,2.24,0.9115
async,50,50,50,1.00,3010,170478,56637.2,534.63,4.04,0.8124
sync,1,1,100,100.00,3012,48691,16165.7,133.42,0.00,1.0000
async,1,1,100,100.00,3012,5553,1843.6,110.23,0.00,1.0000
sync,50,1,100,100.00,3013,45275,15026.6,139.50,0.00,1.0000
async,50,1,100,100.00,3015,983,326.0,101.72,0.00,1.0000
sync,100,1,100,100.00,3012,42657,14162.4,143.44,0.00,1.0000
async,100,1,100,100.00,3011,1688,560.6,105.30,0.00,1.0000
sync,1,50,100,2.00,3013,445362,147813.5,368.20,19.39,0.5524
async,1,50,100,2.00,3009,290526,96552.3,544.45,1.18,0.9297
sync,50,50,100,2.00,3011,162190,53865.8,376.78,8.92,0.7158
async,50,50,100,2.00,3009,162006,53840.5,495.92,2.57,0.8988
sync,100,50,100,2.00,3008,156787,52123.3,412.89,6.37,0.7860
async,100,50,100,2.00,3011,148466,49307.9,527.75,4.45,0.8218
sync,1,100,100,1.00,3013,447442,148503.8,381.33,0.02,0.9989
async,1,100,100,1.00,3012,440696,146313.4,622.55,0.42,0.9802
sync,50,100,100,1.00,3016,194190,64386.6,400.40,6.70,0.7225
async,50,100,100,1.00,3015,187629,62231.8,519.34,2.08,0.8844
sync,100,100,100,1.00,3017,150059,49737.8,404.94,2.45,0.8756
async,100,100,100,1.00,3015,150139,49797.3,482.17,3.27,0.7896
sync,1,1,500,500.00,3011,29462,9784.8,127.25,0.00,1.0000
async,1,1,500,500.00,3012,13686,4543.8,155.49,0.00,1.0000
sync,50,1,500,500.00,3015,29328,9727.4,133.61,0.00,1.0000
async,50,1,500,500.00,3015,11893,3944.6,163.46,0.00,1.0000
sync,100,1,500,500.00,3010,28494,9466.4,138.33,0.00,1.0000
async,100,1,500,500.00,3014,12448,4130.1,167.87,0.00,1.0000
sync,1,50,500,10.00,3012,354853,117813.1,315.52,14.93,0.5584
async,1,50,500,10.00,3014,168134,55784.3,623.11,7.85,0.7131
sync,50,50,500,10.00,3011,161342,53584.2,393.30,6.49,0.7157
async,50,50,500,10.00,3010,126565,42048.2,536.75,4.83,0.8046
sync,100,50,500,10.00,3011,133301,44271.3,358.67,9.62,0.5865
async,100,50,500,10.00,3013,120801,40093.3,522.83,6.05,0.7729
sync,1,100,500,5.00,3011,342080,113610.1,332.30,20.69,0.4527
async,1,100,500,5.00,3010,249305,82825.6,609.72,8.36,0.6518
sync,50,100,500,5.00,3016,149839,49681.4,360.51,10.29,0.5721
async,50,100,500,5.00,3013,164705,54664.8,532.86,5.01,0.7894
sync,100,100,500,5.00,3017,153178,50771.6,398.80,13.61,0.5173
async,100,100,500,5.00,3012,137957,45802.5,517.03,6.22,0.7436
sync,1,500,500,1.00,3015,130177,43176.5,334.65,0.19,0.9924
async,1,500,500,1.00,3014,566075,187815.2,654.53,0.94,0.9491
sync,50,500,500,1.00,3021,88322,29236.0,479.02,0.39,0.9832
async,50,500,500,1.00,3017,169247,56097.8,484.34,6.17,0.6372
sync,100,500,500,1.00,3024,72311,23912.4,450.04,0.38,0.9863
async,100,500,500,1.00,3016,182467,60499.7,490.53,3.26,0.7971
sync,1,1,1000,1000.00,3012,19129,6350.9,118.63,0.00,1.0000
async,1,1,1000,1000.00,3023,7657,2532.9,155.56,0.00,1.0000
sync,50,1,1000,1000.00,3011,18679,6203.6,122.78,0.00,1.0000
async,50,1,1000,1000.00,3015,8927,2960.9,173.58,0.00,1.0000
sync,100,1,1000,1000.00,3013,17870,5931.0,125.12,0.00,1.0000
async,100,1,1000,1000.00,3014,8222,2727.9,175.05,0.00,1.0000
sync,1,50,1000,20.00,3014,325404,107964.2,287.58,9.05,0.6583
async,1,50,1000,20.00,3011,88927,29534.0,692.39,9.40,0.6609
sync,50,50,1000,20.00,3013,167095,55458.0,393.95,6.81,0.7368
async,50,50,1000,20.00,3014,114083,37851.0,592.67,4.36,0.8062
sync,100,50,1000,20.00,3010,124211,41266.1,354.23,6.78,0.7476
async,100,50,1000,20.00,3011,104939,34851.9,581.69,5.50,0.7894
sync,1,100,1000,10.00,3015,345826,114701.8,326.64,15.14,0.5001
async,1,100,1000,10.00,3016,180718,59919.8,655.36,9.56,0.5839
sync,50,100,1000,10.00,3017,167144,55400.7,390.45,9.35,0.6408
async,50,100,1000,10.00,3014,139120,46157.9,536.14,5.58,0.7647
sync,100,100,1000,10.00,3016,148678,49296.4,403.39,11.65,0.5573
async,100,100,1000,10.00,3010,125368,41650.5,515.27,5.44,0.7662
sync,1,500,1000,2.00,3018,142687,47278.7,347.55,4.49,0.4983
async,1,500,1000,2.00,3018,441444,146270.4,635.52,5.25,0.8131
sync,50,500,1000,2.00,3016,91438,30317.6,480.79,3.94,0.5316
async,50,500,1000,2.00,3014,198082,65720.6,511.97,5.18,0.7532
sync,100,500,1000,2.00,3013,78686,26115.5,479.76,5.01,0.4709
async,100,500,1000,2.00,3015,154263,51165.2,447.97,5.11,0.7521
sync,1,1000,1000,1.00,3037,47646,15688.5,347.37,1.00,0.9792
async,1,1000,1000,1.00,3024,559168,184910.1,632.87,1.41,0.9130
sync,50,1000,1000,1.00,3039,39934,13140.5,422.95,2.30,0.9070
async,50,1000,1000,1.00,3028,233768,77202.1,513.60,2.84,0.8288
sync,100,1000,1000,1.00,3040,39667,13048.4,438.72,1.56,0.9512
async,100,1000,1000,1.00,3042,150563,49494.7,473.53,2.96,0.8061
