# version=v2.6.16-20-g37f1003d-dirty commit=37f1003d platform="Darwin arm64" host=Kyles-MacBook-Air date=2026-04-13T07:47:34-07:00 duration_per_test=3s tag=simulator
mode,connection_groups,threads,tags,tags_per_thread,duration_ms,total_reads,reads_per_sec,cpu_load_pct,fairness_cv,fairness_min_max_ratio
sync,1,1,1,1.00,3015,41195,13663.3,79.01,0.00,1.0000
async,1,1,1,1.00,3016,34561,11459.2,117.34,0.00,1.0000
sync,1,1,50,50.00,3016,35651,11820.6,99.87,0.00,1.0000
async,1,1,50,50.00,3006,281850,93762.5,157.61,0.00,1.0000
sync,1,50,50,1.00,3016,262814,87139.9,331.64,2.28,0.9073
async,1,50,50,1.00,3015,190702,63251.1,544.85,0.68,0.9749
sync,1,1,100,100.00,3015,25696,8522.7,112.37,0.00,1.0000
async,1,1,100,100.00,3003,245254,81669.7,161.52,0.00,1.0000
sync,1,50,100,2.00,3012,212267,70473.8,320.44,2.00,0.9139
async,1,50,100,2.00,3016,234868,77874.0,593.21,1.22,0.9467
sync,1,100,100,1.00,3016,277425,91984.4,373.00,0.97,0.9562
async,1,100,100,1.00,3019,196570,65111.0,586.01,0.72,0.9680
sync,1,1,500,500.00,3015,18606,6171.1,124.58,0.00,1.0000
async,1,1,500,500.00,3015,345500,114593.7,184.81,0.00,1.0000
sync,1,50,500,10.00,3006,242841,80785.4,322.92,3.83,0.8462
async,1,50,500,10.00,3013,146977,48780.9,583.17,7.97,0.7077
sync,1,100,500,5.00,3014,273595,90774.7,371.01,6.95,0.7525
async,1,100,500,5.00,3015,134685,44671.6,417.41,1.86,0.8968
sync,1,500,500,1.00,3024,116534,38536.4,356.58,0.38,0.9830
async,1,500,500,1.00,3030,165688,54682.5,486.02,2.38,0.8652
sync,1,1,1000,1000.00,3015,9924,3291.5,114.71,0.00,1.0000
async,1,1,1000,1000.00,3011,385000,127864.5,207.92,0.00,1.0000
sync,1,50,1000,20.00,3013,217937,72332.2,296.02,5.63,0.7867
async,1,50,1000,20.00,3007,122861,40858.3,548.29,14.28,0.5167
sync,1,100,1000,10.00,3013,192946,64037.8,314.87,7.55,0.6996
async,1,100,1000,10.00,3014,119186,39544.1,493.76,3.91,0.8254
sync,1,500,1000,2.00,3025,124236,41069.8,361.97,6.91,0.5134
async,1,500,1000,2.00,3029,166843,55081.9,516.56,2.30,0.8659
sync,1,1000,1000,1.00,3059,56607,18505.1,322.30,1.83,0.9167
async,1,1000,1000,1.00,3071,120514,39242.6,389.77,2.24,0.8605
