# version=v2.6.16-15-g0ce2abf9-dirty commit=0ce2abf9 platform="Darwin arm64" host=Kyles-MacBook-Air date=2026-04-07T14:22:22-07:00 duration_per_test=10s tag=simulator
mode,connection_groups,threads,tags,tags_per_thread,duration_ms,total_reads,reads_per_sec,cpu_load_pct,fairness_cv,fairness_min_max_ratio
sync,1,1,1,1.00,10046,108172,10767.7,72.10,0.00,1.0000
async,1,1,1,1.00,10039,124413,12393.0,118.93,0.00,1.0000
sync,1,1,50,50.00,10037,103148,10276.8,91.99,0.00,1.0000
async,1,1,50,50.00,10033,720152,71778.3,148.60,0.00,1.0000
sync,1,50,50,1.00,10030,442354,44103.1,224.44,2.91,0.8870
async,1,50,50,1.00,10047,484217,48195.2,332.34,0.37,0.9819
sync,1,1,100,100.00,10038,94665,9430.7,111.50,0.00,1.0000
async,1,1,100,100.00,10031,5504,548.7,100.15,0.00,1.0000
sync,1,50,100,2.00,10025,804174,80216.9,317.60,1.40,0.9404
async,1,50,100,2.00,10034,52784,5260.5,618.19,1.75,0.9180
sync,1,100,100,1.00,12049,178667,14828.4,57.41,1.66,0.9112
async,1,100,100,1.00,10043,59352,5909.8,492.73,1.92,0.9063
sync,1,1,500,500.00,10043,47702,4749.8,119.95,0.00,1.0000
async,1,1,500,500.00,10042,166,16.5,119.55,0.00,1.0000
sync,1,50,500,10.00,10042,698057,69513.7,292.85,2.18,0.9035
async,1,50,500,10.00,10034,0,0.0,539.21,0.00,0.0000
sync,1,100,500,5.00,10941,77977,7127.0,30.78,2.28,0.8938
async,1,100,500,5.00,10036,41,4.1,563.90,267.39,0.0000
sync,1,500,500,1.00,15060,86,5.7,4.24,248.32,0.0000
async,1,500,500,1.00,10061,1478,146.9,575.00,46.75,0.0000
sync,1,1,1000,1000.00,10047,32690,3253.7,114.41,0.00,1.0000
async,1,1,1000,1000.00,10044,137,13.6,99.28,0.00,1.0000
sync,1,50,1000,20.00,10049,577870,57505.2,261.53,4.07,0.8230
sync,1,100,1000,10.00,10551,38537,3652.5,18.35,5.31,0.7684
sync,1,500,1000,2.00,15070,685,45.5,5.67,94.19,0.0000
async,1,1000,1000,1.00,10138,115,11.3,491.77,280.12,0.0000
