# version=v2.6.16-12-gad7c7af7-dirty commit=ad7c7af7 platform="Darwin arm64" host=Kyles-MacBook-Air date=2026-04-03T12:40:52-07:00 duration_per_test=10s tag="protocol=modbus-tcp&gateway=127.0.0.1:1502&path=1&name=hr0"
mode,connection_groups,threads,tags,tags_per_thread,duration_ms,total_reads,reads_per_sec,cpu_load_pct,fairness_cv,fairness_min_max_ratio
sync,1,1,1,1.00,10035,160425,15986.5,75.72,0.00,1.0000
async,1,1,1,1.00,10049,177614,17674.8,117.26,0.00,1.0000
sync,1,1,50,50.00,10045,160923,16020.2,76.98,0.00,1.0000
async,1,1,50,50.00,10043,206816,20593.0,149.11,0.00,1.0000
sync,1,50,50,1.00,10050,184950,18403.0,100.83,0.01,0.9995
async,1,50,50,1.00,10038,98162,9779.0,648.19,0.15,0.9929
sync,1,1,100,100.00,10046,156982,15626.3,76.67,0.00,1.0000
async,1,1,100,100.00,10036,208198,20745.1,149.14,0.00,1.0000
sync,1,50,100,2.00,10049,193587,19264.3,103.79,0.01,0.9995
async,1,50,100,2.00,10041,85630,8528.0,674.40,0.15,0.9930
sync,1,100,100,1.00,10051,194751,19376.3,106.16,0.03,0.9990
async,1,100,100,1.00,10037,82437,8213.3,682.32,0.29,0.9868
sync,1,1,500,500.00,10041,158931,15828.2,123.18,0.00,1.0000
async,1,1,500,500.00,10041,205197,20435.9,151.36,0.00,1.0000
sync,1,50,500,10.00,10049,190475,18954.6,162.02,0.01,0.9995
async,1,50,500,10.00,10037,38163,3802.2,744.73,12.36,0.1965
sync,1,100,500,5.00,10049,172445,17160.4,125.53,0.03,0.9994
async,1,100,500,5.00,10031,45133,4499.4,723.53,0.84,0.9674
sync,1,500,500,1.00,10077,155329,15414.2,201.38,0.16,0.9936
async,1,500,500,1.00,10052,105831,10528.4,602.75,0.24,0.9906
sync,1,1,1000,1000.00,10045,123753,12319.9,141.67,0.00,1.0000
async,1,1,1000,1000.00,10042,193913,19310.2,150.52,0.00,1.0000
sync,1,50,1000,20.00,10041,181557,18081.6,183.12,0.08,0.9959
async,1,50,1000,20.00,10035,35569,3544.5,710.13,5.06,0.8205
sync,1,100,1000,10.00,10048,183749,18287.1,186.04,0.06,0.9967
async,1,100,1000,10.00,10040,24160,2406.4,720.90,1.73,0.9200
sync,1,500,1000,2.00,10071,143154,14214.5,209.11,0.16,0.9931
async,1,500,1000,2.00,10049,81241,8084.5,704.19,0.63,0.9639
sync,1,1000,1000,1.00,10102,127035,12575.2,265.54,0.14,0.9922
async,1,1000,1000,1.00,10080,114988,11407.5,688.18,0.34,0.9828
